N,method,seed,rmse_all,rmse_tail,peak,n_c,n_u,r_c,r_u
5,periodic,0,0.0432780605883909,0.0520112296074095,0.0743662240659475,2000,2000,0,0
5,periodic,1,0.0432787155017273,0.0520129465489129,0.0743681252789585,2000,2000,0,0
5,periodic,2,0.0432795075577045,0.0520125860428388,0.0743703196335588,2000,2000,0,0
5,periodic,3,0.0432791534693245,0.0520138572092936,0.0743899836026714,2000,2000,0,0
5,periodic,4,0.0432772835503484,0.052013282830927,0.0743635593560512,2000,2000,0,0
5,periodic,5,0.0432795010098468,0.0520109839382698,0.0743665270060632,2000,2000,0,0
5,periodic,6,0.0432783694551389,0.0520150918949919,0.0743990939404746,2000,2000,0,0
5,periodic,7,0.0432797754650097,0.0520124610590233,0.0743689314651519,2000,2000,0,0
5,periodic,8,0.0432777653725086,0.052014892370207,0.07437817864027,2000,2000,0,0
5,periodic,9,0.0432802629468745,0.05201326207301,0.0743811243855887,2000,2000,0,0
5,periodic,10,0.0432785731567261,0.0520114766595408,0.074365489383144,2000,2000,0,0
5,periodic,11,0.0432795127805926,0.0520104005366018,0.0743671507389756,2000,2000,0,0
5,periodic,12,0.0432795027187396,0.0520123329773079,0.0743643921299508,2000,2000,0,0
5,periodic,13,0.0432777413341804,0.0520116752442127,0.0743654007461565,2000,2000,0,0
5,periodic,14,0.0432782005670361,0.0520170201620452,0.0744231315757169,2000,2000,0,0
5,periodic,15,0.0432777911183582,0.0520126248790711,0.0743640084605985,2000,2000,0,0
5,periodic,16,0.0432800044848329,0.0520142475713163,0.0743949788665184,2000,2000,0,0
5,periodic,17,0.0432801221990448,0.0520140203181023,0.0744041147479209,2000,2000,0,0
5,periodic,18,0.0432782010736418,0.0520154672167691,0.0744064115331931,2000,2000,0,0
5,periodic,19,0.0432799778019523,0.0520133417484004,0.0743812668043873,2000,2000,0,0
5,dynamic_dual,0,0.0423385807020978,0.0505508644927314,0.0834797205092528,487.4,82.2,0.7563,0.9589
5,dynamic_dual,1,0.0424179065352624,0.0504938507785235,0.0837859448569986,487.2,93.6,0.7564,0.9532
5,dynamic_dual,2,0.0420737408903954,0.0502898775306915,0.0833914866084946,487.2,87,0.7564,0.9565
5,dynamic_dual,3,0.0424075885737645,0.0508205512810094,0.0839395545333019,487.4,92.4,0.7563,0.9538
5,dynamic_dual,4,0.0422398144351338,0.0508793620514197,0.084629673681917,487.6,84.4,0.7562,0.9578
5,dynamic_dual,5,0.042205671996001,0.0506944675871714,0.0852631977805629,487.4,88.8,0.7563,0.9556
5,dynamic_dual,6,0.0422471861544482,0.0501667412313658,0.0835974279514176,487.2,82.6,0.7564,0.9587
5,dynamic_dual,7,0.0421506669752219,0.0503646004191174,0.0847821135456179,487.6,80.8,0.7562,0.9596
5,dynamic_dual,8,0.0423277895480609,0.0508390222707046,0.0857245112846634,487.2,91.4,0.7564,0.9543
5,dynamic_dual,9,0.0422919466053369,0.0507912327225793,0.0839759099156652,487.2,93.2,0.7564,0.9534
5,dynamic_dual,10,0.042336971949616,0.0507966975610885,0.0851473902258348,487.2,87.6,0.7564,0.9562
5,dynamic_dual,11,0.042058741020265,0.0501211986841641,0.0833190135669284,487.6,87,0.7562,0.9565
5,dynamic_dual,12,0.0423238774466763,0.0510748161543621,0.0845298176491482,487.4,84.6,0.7563,0.9577
5,dynamic_dual,13,0.0423721129729939,0.0504509652976141,0.0840785445915557,487.4,90,0.7563,0.955
5,dynamic_dual,14,0.0424602506614703,0.0508746821349411,0.0842873985014059,487.6,99.4,0.7562,0.9503
5,dynamic_dual,15,0.0422692096402718,0.0504953349910522,0.0840426788621471,487.4,87,0.7563,0.9565
5,dynamic_dual,16,0.0423407402014438,0.0508602656260759,0.0850325806218208,487.4,89.4,0.7563,0.9553
5,dynamic_dual,17,0.0423105350254714,0.0509717064998916,0.084222499333567,487.4,86.4,0.7563,0.9568
5,dynamic_dual,18,0.0424740873765251,0.0510407835291477,0.0848508653301359,487.2,95.8,0.7564,0.9521
5,dynamic_dual,19,0.0421708474132022,0.0509032837459595,0.0851678887789298,486.8,92.2,0.7566,0.9539
10,periodic,0,0.0561350412272164,0.0794557176273685,0.110013951338214,2000,2000,0,0
10,periodic,1,0.056135352873292,0.07944388013069,0.109893457712712,2000,2000,0,0
10,periodic,2,0.0561348049198397,0.0794456053548388,0.109894405438332,2000,2000,0,0
10,periodic,3,0.0561322165645258,0.0794285537401805,0.109908098030878,2000,2000,0,0
10,periodic,4,0.0561311043305621,0.0794309391643311,0.109911595872163,2000,2000,0,0
10,periodic,5,0.056134634139744,0.0794462544595693,0.109894284058477,2000,2000,0,0
10,periodic,6,0.0561350487858672,0.0794443803079727,0.109893180510912,2000,2000,0,0
10,periodic,7,0.0561344391169581,0.0794409395515508,0.109899835062123,2000,2000,0,0
10,periodic,8,0.0561309110738007,0.0794388396384962,0.109896423518798,2000,2000,0,0
10,periodic,9,0.0561376162096611,0.0794467507618617,0.10989223207887,2000,2000,0,0
10,periodic,10,0.056134798873167,0.079444495463357,0.109893560951893,2000,2000,0,0
10,periodic,11,0.0561359272271788,0.0794571015576558,0.110031577579949,2000,2000,0,0
10,periodic,12,0.0561370152361096,0.079467428222049,0.110198020857545,2000,2000,0,0
10,periodic,13,0.0561327942046537,0.0794357185265864,0.109904035974086,2000,2000,0,0
10,periodic,14,0.056134892176062,0.0794500263676396,0.109928164444863,2000,2000,0,0
10,periodic,15,0.0561346988179247,0.0794397321117466,0.109900343014061,2000,2000,0,0
10,periodic,16,0.0561337647447076,0.0794329417538911,0.109898607705283,2000,2000,0,0
10,periodic,17,0.0561353514189581,0.0794367923576006,0.109900741124125,2000,2000,0,0
10,periodic,18,0.0561360790081857,0.0794394854664695,0.10991064792568,2000,2000,0,0
10,periodic,19,0.0561393725819548,0.0794644994373539,0.110129870811413,2000,2000,0,0
10,dynamic_dual,0,0.0551652337240592,0.079092723997654,0.11609177406098,477,105.5,0.7615,0.94725
10,dynamic_dual,1,0.0551738756657106,0.0790339751163831,0.117825484176233,476.7,107.6,0.76165,0.9462
10,dynamic_dual,2,0.0550166077609209,0.079118675308371,0.117459848990986,476.8,105,0.7616,0.9475
10,dynamic_dual,3,0.0551605141361809,0.0791251352533772,0.117439800646999,476.6,111.7,0.7617,0.94415
10,dynamic_dual,4,0.0549766174564585,0.0787837844971463,0.117989011736491,476.9,102.3,0.76155,0.94885
10,dynamic_dual,5,0.0549671037251193,0.0786486265278552,0.11678483104906,476.9,106.8,0.76155,0.9466
10,dynamic_dual,6,0.0548108633758002,0.0786188526214454,0.118403908069602,476.6,104.1,0.7617,0.94795
10,dynamic_dual,7,0.0552110922502753,0.0797365935887238,0.118120616714776,477.2,104.7,0.7614,0.94765
10,dynamic_dual,8,0.0551613164741393,0.079279953991924,0.118924483302528,476.8,104.4,0.7616,0.9478
10,dynamic_dual,9,0.0551425481385732,0.0789453205900202,0.116556051632006,476.7,114.2,0.76165,0.9429
10,dynamic_dual,10,0.055091907069725,0.0790279383936783,0.116726393522583,476.5,111.1,0.76175,0.94445
10,dynamic_dual,11,0.0548792976748155,0.0790100496374053,0.116717022198049,476.9,108,0.76155,0.946
10,dynamic_dual,12,0.0552530149167465,0.0795684356121128,0.119096024819591,476.7,104,0.76165,0.948
10,dynamic_dual,13,0.0551620028368516,0.0792456987076023,0.118362190782211,477.1,110.5,0.76145,0.94475
10,dynamic_dual,14,0.0553362930518213,0.0792419592821089,0.119181238407648,476.5,111.3,0.76175,0.94435
10,dynamic_dual,15,0.0550983721425816,0.0793847133779033,0.117919925708037,476.6,109.4,0.7617,0.9453
10,dynamic_dual,16,0.0550179219791913,0.0792708223643217,0.11743787978298,476.6,107.8,0.7617,0.9461
10,dynamic_dual,17,0.0549900207622285,0.0790336132125545,0.117031770053995,476.7,107.7,0.76165,0.94615
10,dynamic_dual,18,0.05531569759339,0.0797594477938979,0.11795872052172,476.5,111.9,0.76175,0.94405
10,dynamic_dual,19,0.0549795494175348,0.0792394392434757,0.118658463159925,476.7,108.9,0.76165,0.94555
15,periodic,0,0.0729818598131418,0.10950794350751,0.151465776217506,2000,2000,0,0
15,periodic,1,0.0729893416010686,0.109576212904792,0.151877182990138,2000,2000,0,0
15,periodic,2,0.0730014964581586,0.109625451403243,0.152189940867132,2000,2000,0,0
15,periodic,3,0.0729907273868867,0.109568730950872,0.151844205861295,2000,2000,0,0
15,periodic,4,0.0729771781816654,0.109544519962848,0.151713631363315,2000,2000,0,0
15,periodic,5,0.0729899218546464,0.109559796558674,0.151790070331273,2000,2000,0,0
15,periodic,6,0.0729905481286874,0.109559645500532,0.151777420615343,2000,2000,0,0
15,periodic,7,0.0729841291261776,0.109520288279089,0.151529655271574,2000,2000,0,0
15,periodic,8,0.0729883096274657,0.109571843092261,0.151882508143661,2000,2000,0,0
15,periodic,9,0.0729994188372191,0.109552269612897,0.151695364995874,2000,2000,0,0
15,periodic,10,0.0729941449581675,0.109579799966755,0.151904499037233,2000,2000,0,0
15,periodic,11,0.0729952397614217,0.109594892259984,0.151988781131038,2000,2000,0,0
