N,method,seed,edge,rmse_edge
5,periodic,0,1,0.00323594547272502
5,periodic,0,2,0.043898322896765
5,periodic,0,3,0.0473030948777837
5,periodic,0,4,0.0498464417478302
5,periodic,0,5,0.0520112296074095
5,periodic,1,1,0.00324081037665139
5,periodic,1,2,0.0439075456652775
5,periodic,1,3,0.0472992846397781
5,periodic,1,4,0.049842669701939
5,periodic,1,5,0.0520129465489129
5,periodic,2,1,0.00324213636941864
5,periodic,2,2,0.0438991452267896
5,periodic,2,3,0.0473184268589455
5,periodic,2,4,0.0498356282697152
5,periodic,2,5,0.0520125860428388
5,periodic,3,1,0.00324168351284914
5,periodic,3,2,0.0439057434131709
5,periodic,3,3,0.0473043403197819
5,periodic,3,4,0.0498403536661561
5,periodic,3,5,0.0520138572092936
5,periodic,4,1,0.0032349710917912
5,periodic,4,2,0.0438958739964822
5,periodic,4,3,0.0473126986116346
5,periodic,4,4,0.0498340297872963
5,periodic,4,5,0.052013282830927
5,periodic,5,1,0.0032447261668663
5,periodic,5,2,0.0439114280246634
5,periodic,5,3,0.0473001925120052
5,periodic,5,4,0.0498435915373661
5,periodic,5,5,0.0520109839382698
5,periodic,6,1,0.00323802966099493
5,periodic,6,2,0.0438962498249017
5,periodic,6,3,0.0473167216098407
5,periodic,6,4,0.0498325074620394
5,periodic,6,5,0.0520150918949919
5,periodic,7,1,0.00324686044111947
5,periodic,7,2,0.0439159912703561
5,periodic,7,3,0.0473004314856973
5,periodic,7,4,0.0498388553778737
5,periodic,7,5,0.0520124610590233
5,periodic,8,1,0.00323824445740724
5,periodic,8,2,0.0439031127224209
5,periodic,8,3,0.0473038659941676
5,periodic,8,4,0.0498362375990365
5,periodic,8,5,0.052014892370207
5,periodic,9,1,0.00324902985890166
5,periodic,9,2,0.0439148814249542
5,periodic,9,3,0.047308006133544
5,periodic,9,4,0.049833782942439
5,periodic,9,5,0.05201326207301
5,periodic,10,1,0.00323715362013058
5,periodic,10,2,0.0438922323194451
5,periodic,10,3,0.0473197503755939
5,periodic,10,4,0.0498378848964473
5,periodic,10,5,0.0520114766595408
5,periodic,11,1,0.00324446205772019
5,periodic,11,2,0.0439059501515806
5,periodic,11,3,0.0473138036522455
5,periodic,11,4,0.0498361752128847
5,periodic,11,5,0.0520104005366018
5,periodic,12,1,0.00324481251460242
5,periodic,12,2,0.0439102195974785
5,periodic,12,3,0.0473024770193626
5,periodic,12,4,0.0498410821576295
5,periodic,12,5,0.0520123329773079
5,periodic,13,1,0.00323492097791236
5,periodic,13,2,0.0438926696049024
5,periodic,13,3,0.0473160637498726
5,periodic,13,4,0.0498373260285023
5,periodic,13,5,0.0520116752442127
5,periodic,14,1,0.00323905132541097
5,periodic,14,2,0.0439028420498897
5,periodic,14,3,0.047307104143178
5,periodic,14,4,0.0498330185630441
5,periodic,14,5,0.0520170201620452
5,periodic,15,1,0.00323367435926161
5,periodic,15,2,0.0438909982873182
5,periodic,15,3,0.0473125475874653
5,periodic,15,4,0.0498414419321413
5,periodic,15,5,0.0520126248790711
5,periodic,16,1,0.00324735375205452
5,periodic,16,2,0.0439123779903294
5,periodic,16,3,0.0473080335336837
5,periodic,16,4,0.0498339212449201
5,periodic,16,5,0.0520142475713163
5,periodic,17,1,0.00324532554796785
5,periodic,17,2,0.0439090487943047
5,periodic,17,3,0.0473059953070887
5,periodic,17,4,0.0498396697645772
5,periodic,17,5,0.0520140203181023
5,periodic,18,1,0.0032380272551439
5,periodic,18,2,0.0438990977749397
