N,method,edge,rmse_edge_mean,rmse_edge_std
5,periodic,1,0.00324125152449557,4.82099591765444e-06
5,periodic,2,0.0439039997082305,8.16117474554935e-06
5,periodic,3,0.0473083628195486,6.54049979102867e-06
5,periodic,4,0.0498377302207511,3.98593971034749e-06
5,periodic,5,0.0520131600444126,1.66026764064311e-06
5,dynamic_dual,1,0.0106268455971548,0.000382404065678658
5,dynamic_dual,2,0.0423070402894754,0.000162546780363555
5,dynamic_dual,3,0.0459099057467129,0.000238581173057749
5,dynamic_dual,4,0.048619989185404,0.000290373802322349
5,dynamic_dual,5,0.0506740152294805,0.00028717436022846
10,periodic,1,0.00324125152449557,4.82099591765444e-06
10,periodic,2,0.0439039997082305,8.16117474554935e-06
10,periodic,3,0.0473083628195486,6.54049979102867e-06
10,periodic,4,0.0498377302207511,3.98593971034749e-06
10,periodic,5,0.0520131600444126,1.66026764064311e-06
10,periodic,6,0.0547465548363717,1.68041452366671e-06
10,periodic,7,0.0589015440678373,3.75873904784481e-06
10,periodic,8,0.0647747189714727,6.42430933844783e-06
10,periodic,9,0.0719170552805951,8.67637778069547e-06
10,periodic,10,0.0794445041000605,1.0391062634686e-05
10,dynamic_dual,1,0.0106268455971548,0.000382404065678658
10,dynamic_dual,2,0.0423070402894754,0.000162546780363555
10,dynamic_dual,3,0.0459099057467129,0.000238581173057749
10,dynamic_dual,4,0.048619989185404,0.000290373802322349
10,dynamic_dual,5,0.0506740152294805,0.00028717436022846
10,dynamic_dual,6,0.0533516911779542,0.000381872885501759
10,dynamic_dual,7,0.0574859788944633,0.000296452725516061
10,dynamic_dual,8,0.0635366528707124,0.000289199586305168
10,dynamic_dual,9,0.070414194768076,0.000347337154380128
10,dynamic_dual,10,0.079158287955898,0.000305846278446624
15,periodic,1,0.00324125152449557,4.82099591765444e-06
15,periodic,2,0.0439039997082305,8.16117474554935e-06
15,periodic,3,0.0473083628195486,6.54049979102867e-06
15,periodic,4,0.0498377302207511,3.98593971034749e-06
15,periodic,5,0.0520131600444126,1.66026764064311e-06
15,periodic,6,0.0547465548363717,1.68041452366671e-06
15,periodic,7,0.0589015440678373,3.75873904784481e-06
15,periodic,8,0.0647747189714727,6.42430933844783e-06
15,periodic,9,0.0719170552805951,8.67637778069547e-06
15,periodic,10,0.0794445041000605,1.0391062634686e-05
15,periodic,11,0.0865198984782814,1.46467286687143e-05
15,periodic,12,0.0926944842282256,1.64471688927552e-05
15,periodic,13,0.0981029250803805,2.07865464586051e-05
15,periodic,14,0.10342076130117,2.61106917811083e-05
15,periodic,15,0.109562669107507,3.48370161751434e-05
15,dynamic_dual,1,0.0106268455971548,0.000382404065678658
15,dynamic_dual,2,0.0423070402894754,0.000162546780363555
15,dynamic_dual,3,0.0459099057467129,0.000238581173057749
15,dynamic_dual,4,0.048619989185404,0.000290373802322349
15,dynamic_dual,5,0.0506740152294805,0.00028717436022846
15,dynamic_dual,6,0.0533516911779542,0.000381872885501759
15,dynamic_dual,7,0.0574859788944633,0.000296452725516061
15,dynamic_dual,8,0.0635366528707124,0.000289199586305168
15,dynamic_dual,9,0.070414194768076,0.000347337154380128
15,dynamic_dual,10,0.079158287955898,0.000305846278446624
15,dynamic_dual,11,0.087234885439423,0.000388688316484898
15,dynamic_dual,12,0.0943725206723609,0.000451705803810388
15,dynamic_dual,13,0.100120475645719,0.000339637642679688
15,dynamic_dual,14,0.105636846915854,0.000273993075303478
15,dynamic_dual,15,0.112034522151455,0.000270478347039037
20,periodic,1,0.00324125152449557,4.82099591765444e-06
20,periodic,2,0.0439039997082305,8.16117474554935e-06
20,periodic,3,0.0473083628195486,6.54049979102867e-06
20,periodic,4,0.0498377302207511,3.98593971034749e-06
20,periodic,5,0.0520131600444126,1.66026764064311e-06
20,periodic,6,0.0547465548363717,1.68041452366671e-06
20,periodic,7,0.0589015440678373,3.75873904784481e-06
20,periodic,8,0.0647747189714727,6.42430933844783e-06
20,periodic,9,0.0719170552805951,8.67637778069547e-06
20,periodic,10,0.0794445041000605,1.0391062634686e-05
20,periodic,11,0.0865198984782814,1.46467286687143e-05
20,periodic,12,0.0926944842282256,1.64471688927552e-05
20,periodic,13,0.0981029250803805,2.07865464586051e-05
20,periodic,14,0.10342076130117,2.61106917811083e-05
20,periodic,15,0.109562669107507,3.48370161751434e-05
20,periodic,16,0.117265421292776,4.30607374476342e-05
20,periodic,17,0.126695634512126,5.23738244762885e-05
20,periodic,18,0.137326123112079,7.26521229192088e-05
20,periodic,19,0.14834271444764,7.90492996856797e-05
20,periodic,20,0.159020970040937,0.000110126182116835
20,dynamic_dual,1,0.0106268455971548,0.000382404065678658
20,dynamic_dual,2,0.0423070402894754,0.000162546780363555
20,dynamic_dual,3,0.0459099057467129,0.000238581173057749
20,dynamic_dual,4,0.048619989185404,0.000290373802322349
20,dynamic_dual,5,0.0506740152294805,0.00028717436022846
20,dynamic_dual,6,0.0533516911779542,0.000381872885501759
20,dynamic_dual,7,0.0574859788944633,0.000296452725516061
20,dynamic_dual,8,0.0635366528707124,0.000289199586305168
20,dynamic_dual,9,0.070414194768076,0.000347337154380128
20,dynamic_dual,10,0.079158287955898,0.000305846278446624
20,dynamic_dual,11,0.087234885439423,0.000388688316484898
20,dynamic_dual,12,0.0943725206723609,0.000451705803810388
20,dynamic_dual,13,0.100120475645719,0.000339637642679688
20,dynamic_dual,14,0.105636846915854,0.000273993075303478
20,dynamic_dual,15,0.112034522151455,0.000270478347039037
20,dynamic_dual,16,0.120262112616485,0.000279227196284422
20,dynamic_dual,17,0.130631889258251,0.000348534926928986
20,dynamic_dual,18,0.142112400341948,0.000431624526187456
20,dynamic_dual,19,0.15395309648894,0.000331696814843634
20,dynamic_dual,20,0.165306449293928,0.000364799465275886
